Start Date,End Date,Campaign Name,Ad Set Name,Ad Name,Placement,Impressions,Clicks,Amount Spent (USD),Page Likes,Website Actions (All),Video Views,Mobile App Installs
2015-04-23,2015-04-23,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,6489,89,15.61,1,2,0,0
2015-04-22,2015-04-22,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,972,5,3.25,0,0,0,0
2015-04-22,2015-04-22,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,4062,64,9.35,1,1,0,0
2015-04-21,2015-04-21,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,1525,4,4.05,0,0,0,0
2015-04-21,2015-04-21,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,6376,86,14.69,3,5,0,0
2015-04-20,2015-04-20,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,5891,70,12.17,0,1,0,0
2015-04-20,2015-04-20,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,1577,14,3.93,1,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,1559,16,3.36,1,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,5374,83,12.74,0,0,0,0
2015-04-18,2015-04-18,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,1946,13,5.33,1,0,0,0
2015-04-18,2015-04-18,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,5194,98,10.68,0,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,6008,63,14.07,0,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,818,8,2.03,0,0,0,0
2015-04-23,2015-04-23,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,528,5,1.86,1,0,0,0
2015-04-23,2015-04-23,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,3724,52,9.94,1,1,0,0
2015-04-22,2015-04-22,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,539,5,1.63,0,0,0,0
2015-04-22,2015-04-22,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,4940,54,12.05,1,1,0,0
2015-04-21,2015-04-21,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,11298,123,24.26,4,2,0,0
